7,8,9,12,13,14,4*10,9*19,9*20,10*20,13*14,14*15,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Activation Barrier (eV),Only two way,only three way,,,,,,
0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.524,0.445,0.445,,,,,,
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0.609,0.603,0.566,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.544,0.53,0.53,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,0.426,0.426,,,,,,
0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0.060,0.323,0.285,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0.196,0.196,,,,,,
0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.463,0.456,0.456,,,,,,
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.054,0.252,0.252,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,0.374,0.374,,,,,,
1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0.335,0.524,0.441,,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.264,0.309,0.309,,,,,,
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.245,0.478,0.478,,,,,,
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.263,0.298,0.298,,,,,,
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0.195,0.45,0.385,,,,,,
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.338,0.478,0.478,,,,,,
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.401,0.36,0.341,,,,,,
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.430,0.628,0.628,,,,,,
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.234,0.423,0.423,,,,,,
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.344,0.324,0.324,,,,,,
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.227,0.532,0.394,,,,,,
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.328,0.339,0.339,,,,,,
1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.318,0.528,0.501,,,,,,
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-9999.000,0.478,0.478,,,,,,
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.218,0.218,,,,,,
1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,-9999.000,0.29,0.252,,,,,,
1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0.301,0.674,0.637,,,,,,
1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0.502,0.728,0.71,,,,,,
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.332,0.311,0.311,,,,,,
0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.389,0.516,0.516,,,,,,
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.079,0.079,,,,,,
0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.430,0.423,0.423,,,,,,
0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,-9999.000,0.456,0.456,,,,,,
0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.563,0.499,0.499,,,,,,
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.218,0.218,,,,,,
0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0.007,0.3,0.207,,,,,,
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.261,0.298,0.298,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.385,0.53,0.53,,,,,,
1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0.373,0.343,0.325,,,,,,
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.134,0.298,0.298,,,,,,
1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.288,0.432,0.405,,,,,,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450,0.448,0.448,,,,,,
1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0.214,0.386,0.348,,,,,,
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.153,0.153,,,,,,
1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0.141,0.461,0.387,,,,,,
