8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual,energy one way,,
0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.103,0.338,0.338,0.235,0.235,0.174,,
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.334,0.34,0.267,0.067,0.006,0.213,,
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0.58,0.551,0.478,0.102,0.029,0.454,,
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.565,0.491,0.491,0.074,0.074,0.506,,
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.542,0.564,0.532,0.01,0.022,0.444,,
1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0.128,0.528,0.412,0.284,0.4,0.213,,
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.158,0.142,0.142,0.016,0.016,0.174,,
0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.541,0.776,0.776,0.235,0.235,0.724,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0.198,0.198,0.089,0.089,0.174,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0.444,0.444,0.002,0.002,0.444,,
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.738,0.67,0.67,0.068,0.068,0.535,,
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.491,0.743,0.743,0.252,0.252,0.763,,
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.594,0.85,0.83,0.236,0.256,0.763,,
1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.629,0.882,0.862,0.233,0.253,0.815,,
1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.409,0.694,0.673,0.264,0.285,0.545,,
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.213,0.213,0.066,0.066,0.213,,
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.302,0.636,0.604,0.302,0.334,0.444,,
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481,0.724,0.724,0.243,0.243,0.724,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.496,0.496,0.021,0.021,0.496,,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.584,0.616,0.616,0.032,0.032,0.496,,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.174,0.174,0.002,0.002,0.174,,
1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.392,0.742,0.742,0.35,0.35,0.535,,
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.485,0.439,0.439,0.046,0.046,0.454,,
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0.416,0.392,0.351,0.065,0.024,0.265,,
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.53,0.478,0.478,0.052,0.052,0.493,,
