8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0.561,0.551,0.478,0.083,0.01
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.485,0.491,0.491,0.006,0.006
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.76,0.756,0.756,0.004,0.004
1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.53,0.537,0.517,0.013,0.007
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.535,0.535,0.005,0.005
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.876,0.876,0.876,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.264,0.272,0.272,0.008,0.008
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544,0.535,0.535,0.009,0.009
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0.444,0.444,0.009,0.009
1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0.748,0.758,0.738,0.01,0.01
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.821,0.824,0.792,0.029,0.003
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.455,0.458,0.458,0.003,0.003
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.516,0.515,0.515,0.001,0.001
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.237,0.237,0,0
1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.561,0.561,0.468,0.093,9.99E-16
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.763,0.763,0.007,0.007
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0.535,0.535,0.008,0.008
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0.535,0.535,0.002,0.002
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.265,0.265,0.01,0.01
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.724,0.724,0.004,0.004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0.496,0.496,0.009,0.009
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.216,0.218,0.218,0.002,0.002
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.24,0.248,0.248,0.008,0.008
1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.563,0.561,0.468,0.095,0.002
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0.557,0.551,0.478,0.079,0.006
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.199,0.194,0.194,0.005,0.005
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.535,0.535,0.003,0.003
